,created_at,neg,neu,pos,label
79,2019-11-30 22:09:33+00:00,0.062,0.756,0.182,28.9
80,2019-11-30 22:05:38+00:00,0.27,0.73,0.0,28.9
81,2019-11-30 22:04:54+00:00,0.0,0.886,0.114,28.9
82,2019-11-30 22:04:54+00:00,0.0,0.828,0.172,28.9
83,2019-11-30 22:02:39+00:00,0.0,1.0,0.0,28.9
84,2019-11-30 22:02:25+00:00,0.0,0.828,0.172,28.9
85,2019-11-30 22:02:12+00:00,0.27,0.73,0.0,28.9
86,2019-11-30 22:02:05+00:00,0.0,1.0,0.0,28.9
87,2019-11-30 22:02:00+00:00,0.481,0.377,0.142,28.9
88,2019-11-30 22:01:46+00:00,0.27,0.73,0.0,28.9
89,2019-11-30 22:00:58+00:00,0.0,1.0,0.0,28.9
90,2019-11-30 22:00:54+00:00,0.0,0.828,0.172,28.9
91,2019-11-30 22:00:44+00:00,0.0,0.611,0.389,28.9
92,2019-11-30 22:00:41+00:00,0.0,0.828,0.172,28.9
93,2019-11-30 22:00:00+00:00,0.0,1.0,0.0,28.9
94,2019-11-30 21:58:08+00:00,0.27,0.73,0.0,28.9
95,2019-11-30 21:57:57+00:00,0.27,0.73,0.0,28.9
96,2019-11-30 21:57:32+00:00,0.0,1.0,0.0,28.9
97,2019-11-30 21:56:24+00:00,0.0,1.0,0.0,28.9
98,2019-11-30 21:56:04+00:00,0.268,0.732,0.0,28.9
99,2019-11-30 21:55:52+00:00,0.27,0.73,0.0,28.9
100,2019-11-30 21:54:37+00:00,0.0,0.828,0.172,28.9
101,2019-11-30 21:54:19+00:00,0.0,0.778,0.222,28.9
102,2019-11-30 21:53:03+00:00,0.0,0.828,0.172,28.9
103,2019-11-30 21:52:22+00:00,0.233,0.519,0.248,28.9
104,2019-11-30 21:51:59+00:00,0.0,0.828,0.172,28.9
105,2019-11-30 21:51:25+00:00,0.0,0.828,0.172,28.9
106,2019-11-30 21:50:47+00:00,0.0,0.828,0.172,28.9
107,2019-11-30 21:50:22+00:00,0.0,0.828,0.172,28.9
108,2019-11-30 21:50:05+00:00,0.27,0.73,0.0,28.9
109,2019-11-30 21:50:02+00:00,0.27,0.73,0.0,28.9
110,2019-11-30 21:49:45+00:00,0.27,0.73,0.0,28.9
111,2019-11-30 21:49:29+00:00,0.0,0.778,0.222,28.9
112,2019-11-30 21:49:20+00:00,0.0,0.828,0.172,28.9
113,2019-11-30 21:49:12+00:00,0.27,0.73,0.0,28.9
114,2019-11-30 21:49:04+00:00,0.27,0.73,0.0,28.9
115,2019-11-30 21:48:55+00:00,0.0,0.828,0.172,28.9
116,2019-11-30 21:48:51+00:00,0.352,0.648,0.0,28.9
117,2019-11-30 21:48:42+00:00,0.0,0.828,0.172,28.9
118,2019-11-30 21:48:42+00:00,0.0,0.659,0.341,28.9
119,2019-11-30 21:48:32+00:00,0.0,0.828,0.172,28.9
120,2019-11-30 21:48:29+00:00,0.355,0.645,0.0,28.9
121,2019-11-30 21:48:26+00:00,0.0,1.0,0.0,28.9
122,2019-11-30 21:48:23+00:00,0.062,0.756,0.182,28.9
123,2019-11-30 21:48:08+00:00,0.0,0.828,0.172,28.9
124,2019-11-30 21:47:12+00:00,0.0,0.828,0.172,28.9
125,2019-11-30 21:47:05+00:00,0.0,0.828,0.172,28.9
126,2019-11-30 21:46:52+00:00,0.0,0.828,0.172,28.9
127,2019-11-30 21:46:37+00:00,0.0,0.828,0.172,28.9
128,2019-11-30 21:46:36+00:00,0.0,0.828,0.172,28.9
129,2019-11-30 21:46:26+00:00,0.0,0.611,0.389,28.9
130,2019-11-30 21:46:24+00:00,0.0,0.828,0.172,28.9
131,2019-11-30 21:46:18+00:00,0.0,0.828,0.172,28.9
132,2019-11-30 21:46:14+00:00,0.0,0.828,0.172,28.9
133,2019-11-30 21:46:04+00:00,0.0,0.828,0.172,28.9
134,2019-11-30 21:45:19+00:00,0.0,0.828,0.172,28.9
135,2019-11-30 21:44:57+00:00,0.0,0.828,0.172,28.9
136,2019-11-30 21:44:53+00:00,0.0,0.828,0.172,28.9
137,2019-11-30 21:44:25+00:00,0.0,0.828,0.172,28.9
138,2019-11-30 21:44:19+00:00,0.0,0.828,0.172,28.9
139,2019-11-30 21:43:37+00:00,0.0,0.748,0.252,28.9
140,2019-11-30 21:41:36+00:00,0.0,1.0,0.0,28.9
141,2019-11-30 21:37:07+00:00,0.0,1.0,0.0,28.9
142,2019-11-30 21:32:56+00:00,0.233,0.519,0.248,28.9
143,2019-11-30 21:32:10+00:00,0.294,0.706,0.0,28.9
144,2019-11-30 21:30:55+00:00,0.375,0.625,0.0,28.9
145,2019-11-30 21:29:06+00:00,0.242,0.5,0.258,28.9
146,2019-11-30 21:27:25+00:00,0.0,1.0,0.0,28.9
147,2019-11-30 21:19:30+00:00,0.198,0.521,0.281,28.9
148,2019-11-30 21:19:13+00:00,0.0,1.0,0.0,28.9
149,2019-11-30 21:19:03+00:00,0.0,1.0,0.0,28.9
150,2019-11-30 21:17:46+00:00,0.242,0.5,0.258,28.9
151,2019-11-30 21:16:45+00:00,0.0,0.516,0.484,28.9
152,2019-11-30 21:14:51+00:00,0.062,0.756,0.182,28.9
153,2019-11-30 21:12:04+00:00,0.0,1.0,0.0,28.9
154,2019-11-30 21:11:12+00:00,0.129,0.618,0.253,28.9
155,2019-11-30 21:09:46+00:00,0.0,1.0,0.0,28.9
156,2019-11-30 21:06:23+00:00,0.09,0.513,0.397,28.9
157,2019-11-30 21:05:46+00:00,0.062,0.756,0.182,28.9
158,2019-11-30 21:02:33+00:00,0.0,1.0,0.0,28.9
159,2019-11-30 21:01:46+00:00,0.0,1.0,0.0,28.9
160,2019-11-30 21:00:56+00:00,0.0,0.656,0.344,28.9
161,2019-11-30 20:59:40+00:00,0.0,0.738,0.262,28.9
162,2019-11-30 20:59:03+00:00,0.143,0.857,0.0,28.9
163,2019-11-30 20:58:12+00:00,0.0,0.679,0.321,28.9
164,2019-11-30 20:53:05+00:00,0.0,0.826,0.174,28.9
165,2019-11-30 20:52:17+00:00,0.242,0.5,0.258,28.9
166,2019-11-30 20:49:59+00:00,0.0,1.0,0.0,28.9
167,2019-11-30 20:47:16+00:00,0.242,0.5,0.258,28.9
168,2019-11-30 20:44:55+00:00,0.062,0.756,0.182,28.9
169,2019-11-30 20:42:20+00:00,0.0,0.679,0.321,28.9
170,2019-11-30 20:41:27+00:00,0.0,0.679,0.321,28.9
171,2019-11-30 20:41:24+00:00,0.0,0.679,0.321,28.9
172,2019-11-30 20:41:11+00:00,0.0,0.775,0.225,28.9
173,2019-11-30 20:38:54+00:00,0.192,0.606,0.202,28.9
174,2019-11-30 20:36:19+00:00,0.0,1.0,0.0,28.9
175,2019-11-30 20:36:01+00:00,0.0,0.723,0.277,28.9
176,2019-11-30 20:34:42+00:00,0.238,0.762,0.0,28.9
177,2019-11-30 20:33:55+00:00,0.0,1.0,0.0,28.9
178,2019-11-30 20:33:17+00:00,0.0,0.588,0.412,28.9
179,2019-11-30 20:32:25+00:00,0.0,0.667,0.333,28.9
180,2019-11-30 20:30:00+00:00,0.0,1.0,0.0,28.9
181,2019-11-30 20:28:10+00:00,0.0,1.0,0.0,28.9
182,2019-11-30 20:25:23+00:00,0.298,0.702,0.0,28.9
183,2019-11-30 20:21:40+00:00,0.0,0.611,0.389,28.9
184,2019-11-30 20:17:33+00:00,0.0,0.443,0.557,28.9
185,2019-11-30 20:17:28+00:00,0.219,0.781,0.0,28.9
186,2019-11-30 20:14:07+00:00,0.0,1.0,0.0,28.9
187,2019-11-30 20:12:36+00:00,0.0,0.611,0.389,28.9
188,2019-11-30 20:10:06+00:00,0.0,1.0,0.0,28.9
189,2019-11-30 20:02:44+00:00,0.0,0.611,0.389,28.9
190,2019-11-30 20:02:35+00:00,0.0,0.669,0.331,28.9
191,2019-11-30 20:02:35+00:00,0.0,1.0,0.0,28.9
192,2019-11-30 20:02:34+00:00,0.385,0.615,0.0,28.9
193,2019-11-30 20:01:54+00:00,0.0,1.0,0.0,28.9
194,2019-11-30 20:01:54+00:00,0.239,0.761,0.0,28.9
195,2019-11-30 20:00:29+00:00,0.0,0.611,0.389,28.9
196,2019-11-30 19:58:30+00:00,0.0,0.777,0.223,28.9
197,2019-11-30 19:53:08+00:00,0.0,0.588,0.412,28.9
198,2019-11-29 08:05:25+00:00,0.0,0.611,0.389,28.9
199,2019-11-28 16:19:29+00:00,0.0,1.0,0.0,28.9
200,2019-11-28 12:08:11+00:00,0.0,1.0,0.0,28.9
201,2019-11-28 08:28:12+00:00,0.0,1.0,0.0,28.9
202,2019-11-28 08:03:18+00:00,0.0,1.0,0.0,28.9
203,2019-11-28 08:02:26+00:00,0.0,1.0,0.0,28.9
204,2019-11-27 23:54:33+00:00,0.0,1.0,0.0,28.9
205,2019-11-27 23:18:29+00:00,0.0,1.0,0.0,28.9
206,2019-11-27 18:09:52+00:00,0.0,1.0,0.0,28.9
207,2019-11-27 16:28:12+00:00,0.0,1.0,0.0,28.9
208,2019-11-27 16:28:06+00:00,0.0,1.0,0.0,28.9
209,2019-11-27 16:24:15+00:00,0.0,1.0,0.0,28.9
210,2019-11-27 16:19:34+00:00,0.0,1.0,0.0,28.9
211,2019-11-27 16:19:02+00:00,0.0,1.0,0.0,28.9
212,2019-11-27 16:13:12+00:00,0.0,1.0,0.0,28.9
213,2019-11-27 16:01:41+00:00,0.0,1.0,0.0,28.9
214,2019-11-27 16:00:57+00:00,0.0,1.0,0.0,28.9
215,2019-11-27 15:58:27+00:00,0.0,1.0,0.0,28.9
216,2019-11-27 15:56:17+00:00,0.0,1.0,0.0,28.9
217,2019-11-27 15:55:09+00:00,0.0,1.0,0.0,28.9
218,2019-11-27 15:51:08+00:00,0.0,1.0,0.0,28.9
219,2019-11-27 15:51:02+00:00,0.0,1.0,0.0,28.9
220,2019-11-27 15:20:24+00:00,0.0,1.0,0.0,28.9
221,2019-11-27 11:59:50+00:00,0.0,1.0,0.0,28.9
222,2019-11-27 11:36:02+00:00,0.0,1.0,0.0,28.9
223,2019-11-27 11:11:02+00:00,0.0,1.0,0.0,28.9
224,2019-11-26 16:01:49+00:00,0.197,0.405,0.399,28.9
225,2019-11-24 21:19:16+00:00,0.252,0.748,0.0,28.9
226,2019-11-24 18:26:03+00:00,0.184,0.816,0.0,28.9
227,2019-11-24 18:25:45+00:00,0.184,0.816,0.0,28.9
228,2019-11-23 23:59:33+00:00,0.112,0.888,0.0,28.9
229,2019-11-23 23:59:31+00:00,0.252,0.748,0.0,28.9
230,2019-11-23 23:59:27+00:00,0.112,0.888,0.0,28.9
231,2019-11-23 23:59:17+00:00,0.112,0.888,0.0,28.9
232,2019-11-23 23:59:13+00:00,0.0,0.526,0.474,28.9
233,2019-11-23 23:58:55+00:00,0.0,0.665,0.335,28.9
234,2019-11-23 23:58:52+00:00,0.112,0.888,0.0,28.9
235,2019-11-23 23:58:48+00:00,0.112,0.888,0.0,28.9
236,2019-11-23 23:57:32+00:00,0.0,0.893,0.107,28.9
237,2019-11-23 23:57:19+00:00,0.112,0.888,0.0,28.9
238,2019-11-23 23:57:16+00:00,0.112,0.888,0.0,28.9
239,2019-11-23 23:57:06+00:00,0.0,1.0,0.0,28.9
240,2019-11-23 23:57:04+00:00,0.112,0.888,0.0,28.9
241,2019-11-23 23:56:41+00:00,0.0,1.0,0.0,28.9
242,2019-11-23 23:56:06+00:00,0.0,1.0,0.0,28.9
243,2019-11-23 23:55:49+00:00,0.112,0.888,0.0,28.9
244,2019-11-23 23:55:12+00:00,0.0,1.0,0.0,28.9
245,2019-11-23 23:55:10+00:00,0.0,1.0,0.0,28.9
246,2019-11-23 23:54:53+00:00,0.0,0.686,0.314,28.9
247,2019-11-23 23:54:19+00:00,0.112,0.888,0.0,28.9
248,2019-11-23 23:53:37+00:00,0.0,0.7,0.3,28.9
249,2019-11-23 23:53:19+00:00,0.112,0.888,0.0,28.9
250,2019-11-23 23:53:02+00:00,0.112,0.888,0.0,28.9
251,2019-11-23 23:52:43+00:00,0.112,0.888,0.0,28.9
252,2019-11-23 23:52:23+00:00,0.112,0.888,0.0,28.9
253,2019-11-23 23:52:05+00:00,0.0,1.0,0.0,28.9
254,2019-11-23 23:51:56+00:00,0.0,1.0,0.0,28.9
255,2019-11-23 23:51:55+00:00,0.0,0.686,0.314,28.9
256,2019-11-23 23:51:38+00:00,0.112,0.888,0.0,28.9
257,2019-11-23 23:50:47+00:00,0.0,1.0,0.0,28.9
258,2019-11-23 23:49:52+00:00,0.112,0.888,0.0,28.9
259,2019-11-23 23:49:51+00:00,0.112,0.888,0.0,28.9
260,2019-11-23 23:49:45+00:00,0.112,0.888,0.0,28.9
261,2019-11-23 23:49:40+00:00,0.0,1.0,0.0,28.9
262,2019-11-23 23:49:18+00:00,0.0,1.0,0.0,28.9
263,2019-11-23 23:48:29+00:00,0.215,0.579,0.207,28.9
264,2019-11-23 23:48:28+00:00,0.112,0.888,0.0,28.9
265,2019-11-23 23:47:51+00:00,0.112,0.888,0.0,28.9
266,2019-11-23 23:47:50+00:00,0.0,1.0,0.0,28.9
267,2019-11-23 23:47:48+00:00,0.0,1.0,0.0,28.9
268,2019-11-23 23:47:04+00:00,0.0,1.0,0.0,28.9
269,2019-11-23 23:46:40+00:00,0.112,0.888,0.0,28.9
270,2019-11-23 23:45:58+00:00,0.112,0.888,0.0,28.9
271,2019-11-23 23:45:52+00:00,0.112,0.888,0.0,28.9
