,created_at,neg,neu,pos,label
0,2019-11-30 23:52:17+00:00,0.0,1.0,0.0,uu
1,2019-11-30 23:51:08+00:00,0.0,0.584,0.416,uu
2,2019-11-30 23:48:19+00:00,0.0,1.0,0.0,uu
3,2019-11-30 23:47:43+00:00,0.0,0.863,0.137,uu
4,2019-11-30 23:42:01+00:00,0.0,0.878,0.122,uu
5,2019-11-30 23:41:31+00:00,0.0,1.0,0.0,uu
6,2019-11-30 23:39:05+00:00,0.252,0.48,0.268,uu
7,2019-11-30 23:38:15+00:00,0.0,1.0,0.0,uu
8,2019-11-30 23:37:57+00:00,0.0,1.0,0.0,uu
9,2019-11-30 23:36:30+00:00,0.044,0.884,0.072,uu
10,2019-11-30 23:36:11+00:00,0.233,0.519,0.248,uu
11,2019-11-30 23:34:52+00:00,0.0,1.0,0.0,uu
12,2019-11-30 23:33:31+00:00,0.233,0.519,0.248,uu
13,2019-11-30 23:33:00+00:00,0.203,0.541,0.257,uu
14,2019-11-30 23:32:22+00:00,0.0,0.619,0.381,uu
15,2019-11-30 23:31:26+00:00,0.232,0.368,0.401,uu
16,2019-11-30 23:31:09+00:00,0.252,0.48,0.268,uu
17,2019-11-30 23:30:26+00:00,0.0,1.0,0.0,uu
18,2019-11-30 23:30:04+00:00,0.242,0.5,0.258,uu
19,2019-11-30 23:30:03+00:00,0.0,1.0,0.0,uu
20,2019-11-30 23:27:24+00:00,0.0,1.0,0.0,uu
21,2019-11-30 23:27:07+00:00,0.0,0.828,0.172,uu
22,2019-11-30 23:22:09+00:00,0.0,1.0,0.0,uu
23,2019-11-30 23:21:27+00:00,0.0,0.726,0.274,uu
24,2019-11-30 23:21:08+00:00,0.044,0.884,0.072,uu
25,2019-11-30 23:18:48+00:00,0.27,0.73,0.0,uu
26,2019-11-30 23:17:52+00:00,0.0,0.828,0.172,uu
27,2019-11-30 23:15:33+00:00,0.252,0.48,0.268,uu
28,2019-11-30 23:14:55+00:00,0.0,0.878,0.122,uu
29,2019-11-30 23:13:57+00:00,0.233,0.519,0.248,uu
30,2019-11-30 23:12:32+00:00,0.0,0.703,0.297,uu
31,2019-11-30 23:09:58+00:00,0.238,0.509,0.253,uu
32,2019-11-30 23:07:34+00:00,0.242,0.5,0.258,uu
33,2019-11-30 23:05:10+00:00,0.058,0.769,0.173,uu
34,2019-11-30 23:04:18+00:00,0.385,0.615,0.0,uu
35,2019-11-30 23:02:16+00:00,0.0,1.0,0.0,uu
36,2019-11-30 23:01:42+00:00,0.0,0.828,0.172,uu
37,2019-11-30 23:00:24+00:00,0.076,0.696,0.228,uu
38,2019-11-30 22:59:11+00:00,0.0,0.878,0.122,uu
39,2019-11-30 22:57:13+00:00,0.044,0.884,0.072,uu
40,2019-11-30 22:57:12+00:00,0.062,0.756,0.182,uu
41,2019-11-30 22:55:01+00:00,0.0,1.0,0.0,uu
42,2019-11-30 22:54:16+00:00,0.044,0.884,0.072,uu
43,2019-11-30 22:54:04+00:00,0.423,0.577,0.0,uu
44,2019-11-30 22:53:20+00:00,0.0,1.0,0.0,uu
45,2019-11-30 22:48:16+00:00,0.135,0.577,0.288,uu
46,2019-11-30 22:47:43+00:00,0.06,0.88,0.06,uu
47,2019-11-30 22:47:10+00:00,0.062,0.756,0.182,uu
48,2019-11-30 22:46:35+00:00,0.231,0.769,0.0,uu
49,2019-11-30 22:45:27+00:00,0.044,0.884,0.072,uu
50,2019-11-30 22:43:17+00:00,0.128,0.542,0.33,uu
51,2019-11-30 22:40:35+00:00,0.0,0.878,0.122,uu
52,2019-11-30 22:37:50+00:00,0.062,0.756,0.182,uu
53,2019-11-30 22:36:46+00:00,0.062,0.756,0.182,uu
54,2019-11-30 22:35:48+00:00,0.0,0.828,0.172,uu
55,2019-11-30 22:35:14+00:00,0.0,1.0,0.0,uu
56,2019-11-30 22:34:48+00:00,0.0,1.0,0.0,uu
57,2019-11-30 22:34:16+00:00,0.0,1.0,0.0,uu
58,2019-11-30 22:29:19+00:00,0.044,0.884,0.072,uu
59,2019-11-30 22:26:20+00:00,0.114,0.886,0.0,uu
60,2019-11-30 22:24:31+00:00,0.0,0.674,0.326,uu
61,2019-11-30 22:24:03+00:00,0.092,0.756,0.151,uu
62,2019-11-30 22:20:46+00:00,0.0,1.0,0.0,uu
63,2019-11-30 22:20:23+00:00,0.0,0.878,0.122,uu
64,2019-11-30 22:20:18+00:00,0.27,0.73,0.0,uu
65,2019-11-30 22:19:20+00:00,0.0,1.0,0.0,uu
66,2019-11-30 22:18:52+00:00,0.0,0.635,0.365,uu
67,2019-11-30 22:18:18+00:00,0.0,1.0,0.0,uu
68,2019-11-30 22:17:47+00:00,0.114,0.886,0.0,uu
69,2019-11-30 22:17:28+00:00,0.0,0.828,0.172,uu
70,2019-11-30 22:16:24+00:00,0.27,0.73,0.0,uu
71,2019-11-30 22:15:14+00:00,0.0,0.828,0.172,uu
72,2019-11-30 22:12:03+00:00,0.0,0.878,0.122,uu
73,2019-11-30 22:11:59+00:00,0.233,0.519,0.248,uu
74,2019-11-30 22:11:25+00:00,0.0,0.828,0.172,uu
75,2019-11-30 22:11:22+00:00,0.0,0.828,0.172,uu
76,2019-11-30 22:10:59+00:00,0.27,0.73,0.0,uu
77,2019-11-30 22:09:56+00:00,0.481,0.377,0.142,uu
78,2019-11-30 22:09:51+00:00,0.44,0.431,0.129,uu
79,2019-11-30 22:09:33+00:00,0.062,0.756,0.182,uu
80,2019-11-30 22:05:38+00:00,0.27,0.73,0.0,uu
81,2019-11-30 22:04:54+00:00,0.0,0.886,0.114,uu
82,2019-11-30 22:04:54+00:00,0.0,0.828,0.172,uu
83,2019-11-30 22:02:39+00:00,0.0,1.0,0.0,uu
84,2019-11-30 22:02:25+00:00,0.0,0.828,0.172,uu
85,2019-11-30 22:02:12+00:00,0.27,0.73,0.0,uu
86,2019-11-30 22:02:05+00:00,0.0,1.0,0.0,uu
87,2019-11-30 22:02:00+00:00,0.481,0.377,0.142,uu
88,2019-11-30 22:01:46+00:00,0.27,0.73,0.0,uu
89,2019-11-30 22:00:58+00:00,0.0,1.0,0.0,uu
90,2019-11-30 22:00:54+00:00,0.0,0.828,0.172,uu
91,2019-11-30 22:00:44+00:00,0.0,0.611,0.389,uu
92,2019-11-30 22:00:41+00:00,0.0,0.828,0.172,uu
93,2019-11-30 22:00:00+00:00,0.0,1.0,0.0,uu
94,2019-11-30 21:58:08+00:00,0.27,0.73,0.0,uu
95,2019-11-30 21:57:57+00:00,0.27,0.73,0.0,uu
96,2019-11-30 21:57:32+00:00,0.0,1.0,0.0,uu
97,2019-11-30 21:56:24+00:00,0.0,1.0,0.0,uu
98,2019-11-30 21:56:04+00:00,0.268,0.732,0.0,uu
99,2019-11-30 21:55:52+00:00,0.27,0.73,0.0,uu
100,2019-11-30 21:54:37+00:00,0.0,0.828,0.172,uu
101,2019-11-30 21:54:19+00:00,0.0,0.778,0.222,uu
102,2019-11-30 21:53:03+00:00,0.0,0.828,0.172,uu
103,2019-11-30 21:52:22+00:00,0.233,0.519,0.248,uu
104,2019-11-30 21:51:59+00:00,0.0,0.828,0.172,uu
105,2019-11-30 21:51:25+00:00,0.0,0.828,0.172,uu
106,2019-11-30 21:50:47+00:00,0.0,0.828,0.172,uu
107,2019-11-30 21:50:22+00:00,0.0,0.828,0.172,uu
108,2019-11-30 21:50:05+00:00,0.27,0.73,0.0,uu
109,2019-11-30 21:50:02+00:00,0.27,0.73,0.0,uu
110,2019-11-30 21:49:45+00:00,0.27,0.73,0.0,uu
111,2019-11-30 21:49:29+00:00,0.0,0.778,0.222,uu
112,2019-11-30 21:49:20+00:00,0.0,0.828,0.172,uu
113,2019-11-30 21:49:12+00:00,0.27,0.73,0.0,uu
114,2019-11-30 21:49:04+00:00,0.27,0.73,0.0,uu
115,2019-11-30 21:48:55+00:00,0.0,0.828,0.172,uu
116,2019-11-30 21:48:51+00:00,0.352,0.648,0.0,uu
117,2019-11-30 21:48:42+00:00,0.0,0.828,0.172,uu
118,2019-11-30 21:48:42+00:00,0.0,0.659,0.341,uu
119,2019-11-30 21:48:32+00:00,0.0,0.828,0.172,uu
120,2019-11-30 21:48:29+00:00,0.355,0.645,0.0,uu
121,2019-11-30 21:48:26+00:00,0.0,1.0,0.0,uu
122,2019-11-30 21:48:23+00:00,0.062,0.756,0.182,uu
123,2019-11-30 21:48:08+00:00,0.0,0.828,0.172,uu
124,2019-11-30 21:47:12+00:00,0.0,0.828,0.172,uu
125,2019-11-30 21:47:05+00:00,0.0,0.828,0.172,uu
126,2019-11-30 21:46:52+00:00,0.0,0.828,0.172,uu
127,2019-11-30 21:46:37+00:00,0.0,0.828,0.172,uu
128,2019-11-30 21:46:36+00:00,0.0,0.828,0.172,uu
129,2019-11-30 21:46:26+00:00,0.0,0.611,0.389,uu
130,2019-11-30 21:46:24+00:00,0.0,0.828,0.172,uu
131,2019-11-30 21:46:18+00:00,0.0,0.828,0.172,uu
132,2019-11-30 21:46:14+00:00,0.0,0.828,0.172,uu
133,2019-11-30 21:46:04+00:00,0.0,0.828,0.172,uu
134,2019-11-30 21:45:19+00:00,0.0,0.828,0.172,uu
135,2019-11-30 21:44:57+00:00,0.0,0.828,0.172,uu
136,2019-11-30 21:44:53+00:00,0.0,0.828,0.172,uu
137,2019-11-30 21:44:25+00:00,0.0,0.828,0.172,uu
138,2019-11-30 21:44:19+00:00,0.0,0.828,0.172,uu
139,2019-11-30 21:43:37+00:00,0.0,0.748,0.252,uu
140,2019-11-30 21:41:36+00:00,0.0,1.0,0.0,uu
141,2019-11-30 21:37:07+00:00,0.0,1.0,0.0,uu
142,2019-11-30 21:32:56+00:00,0.233,0.519,0.248,uu
143,2019-11-30 21:32:10+00:00,0.294,0.706,0.0,uu
144,2019-11-30 21:30:55+00:00,0.375,0.625,0.0,uu
145,2019-11-30 21:29:06+00:00,0.242,0.5,0.258,uu
146,2019-11-30 21:27:25+00:00,0.0,1.0,0.0,uu
147,2019-11-30 21:19:30+00:00,0.198,0.521,0.281,uu
148,2019-11-30 21:19:13+00:00,0.0,1.0,0.0,uu
149,2019-11-30 21:19:03+00:00,0.0,1.0,0.0,uu
150,2019-11-30 21:17:46+00:00,0.242,0.5,0.258,uu
151,2019-11-30 21:16:45+00:00,0.0,0.516,0.484,uu
152,2019-11-30 21:14:51+00:00,0.062,0.756,0.182,uu
153,2019-11-30 21:12:04+00:00,0.0,1.0,0.0,uu
154,2019-11-30 21:11:12+00:00,0.129,0.618,0.253,uu
155,2019-11-30 21:09:46+00:00,0.0,1.0,0.0,uu
156,2019-11-30 21:06:23+00:00,0.09,0.513,0.397,uu
157,2019-11-30 21:05:46+00:00,0.062,0.756,0.182,uu
158,2019-11-30 21:02:33+00:00,0.0,1.0,0.0,uu
159,2019-11-30 21:01:46+00:00,0.0,1.0,0.0,uu
160,2019-11-30 21:00:56+00:00,0.0,0.656,0.344,uu
161,2019-11-30 20:59:40+00:00,0.0,0.738,0.262,uu
162,2019-11-30 20:59:03+00:00,0.143,0.857,0.0,uu
163,2019-11-30 20:58:12+00:00,0.0,0.679,0.321,uu
164,2019-11-30 20:53:05+00:00,0.0,0.826,0.174,uu
